C.aligans,,,,,
Cell-only,BNC,BPHB(2%),BPHB(5%),BPHB(10%),PHB
0.116,-16.37931034,17.24137931,30.17241379,-7.75862069,-22.4137931
0.091,-28.57142857,17.58241758,-19.78021978,-56.04395604,-69.23076923
0.096,-55.20833333,33.33333333,1.041666667,-136.4583333,-189.5833333
0.103,4.854368932,27.18446602,4.854368932,-22.33009709,-26.21359223
0.093,12.90322581,29.03225806,-12.90322581,-49.46236559,-56.98924731
0.121,34.7107438,34.7107438,61.98347107,-36.36363636,3.305785124
,,,,,
S.aureus,,,,,
Cell-only,BNC,BPHB(2%),BPHB(5%),BPHB(10%),PHB
0.121,7.438,39.669,-32.231,-44.628,-63.636
0.104,-8.654,28.846,4.808,8.654,-9.615
0.097,-28.866,21.649,-15.464,0.000,-10.309
0.108,-9.259,-16.667,3.704,15.741,-12.037
0.101,-13.861,-9.901,-20.792,-35.644,-10.891
0.115,12.174,8.696,1.739,6.957,-1.739
,,,,,
E.coli,,,,,
Cell-only,BNC,BPHB(2%),BPHB(5%),BPHB(10%),PHB
0.163,41.718,12.270,19.018,-10.429,-5.521
0.193,36.269,26.425,37.306,3.109,10.363
0.185,36.216,9.189,30.270,-2.703,-2.162
0.165,40.000,29.091,24.848,-13.333,-6.667
0.173,41.618,19.653,16.185,-16.185,3.468
0.135,5.926,7.407,-12.593,-48.889,-65.185